,0
0,-75.0
1,-79.0
2,-54.0
3,-75.0
4,-79.0
5,-75.0
6,-77.0
7,-74.0
8,-79.0
9,-79.0
10,-69.0
11,-79.0
12,-59.0
13,-65.0
14,-47.0
15,-74.0
16,-79.0
17,-71.0
18,-50.0
19,-77.0
20,-76.0
21,-79.0
22,-55.0
23,-75.0
24,-79.0
25,-75.0
26,-75.0
27,-74.0
28,-75.0
29,-79.0
30,-67.0
31,-79.0
32,-65.0
33,-65.0
34,-49.0
35,-75.0
36,-78.0
37,-71.0
38,-50.0
39,-77.0
40,-75.0
41,-79.0
42,-55.0
43,-75.0
44,-79.0
45,-75.0
46,-74.0
47,-71.0
48,-79.0
49,-79.0
50,-69.0
51,-79.0
52,-61.0
53,-67.0
54,-50.0
55,-75.0
56,-78.0
57,-71.0
58,-49.0
59,-77.0
60,-75.0
61,-79.0
62,-54.0
63,-76.0
64,-79.0
65,-75.0
66,-72.0
67,-71.0
68,-79.0
69,-79.0
70,-70.0
71,-79.0
72,-63.0
73,-66.0
74,-47.0
75,-75.0
76,-79.0
77,-71.0
78,-49.0
79,-77.0
80,-75.0
81,-79.0
82,-54.0
83,-76.0
84,-79.0
85,-75.0
86,-74.0
87,-69.0
88,-79.0
89,-79.0
90,-70.0
91,-79.0
92,-60.0
93,-66.0
94,-48.0
95,-75.0
96,-78.0
97,-68.0
98,-49.0
99,-77.0
100,-74.0
101,-79.0
102,-53.0
103,-74.0
104,-79.0
105,-76.0
106,-74.0
107,-69.0
108,-78.0
109,-79.0
110,-69.0
111,-79.0
112,-61.0
113,-63.0
114,-48.0
115,-75.0
116,-78.0
117,-67.0
118,-49.0
119,-77.0
120,-72.0
121,-79.0
122,-54.0
123,-71.0
124,-79.0
125,-75.0
126,-71.0
127,-69.0
128,-77.0
129,-79.0
130,-69.0
131,-79.0
132,-62.0
133,-64.0
134,-47.0
135,-75.0
136,-79.0
137,-67.0
138,-46.0
139,-77.0
140,-73.0
141,-79.0
142,-53.0
143,-73.0
144,-79.0
145,-75.0
146,-71.0
147,-69.0
148,-77.0
149,-79.0
150,-71.0
151,-79.0
152,-62.0
153,-64.0
154,-48.0
155,-75.0
156,-78.0
157,-66.0
158,-46.0
159,-77.0
160,-73.0
161,-79.0
162,-53.0
163,-73.0
164,-79.0
165,-75.0
166,-67.0
167,-67.0
168,-77.0
169,-79.0
170,-70.0
171,-79.0
172,-64.0
173,-64.0
174,-49.0
175,-75.0
176,-78.0
177,-66.0
178,-46.0
179,-77.0
180,-73.0
181,-79.0
182,-54.0
183,-73.0
184,-79.0
185,-75.0
186,-70.0
187,-67.0
188,-78.0
189,-79.0
190,-70.0
191,-79.0
192,-63.0
193,-63.0
194,-48.0
195,-75.0
196,-79.0
197,-67.0
198,-46.0
199,-77.0
200,-73.0
201,-79.0
202,-54.0
203,-72.0
204,-79.0
205,-76.0
206,-70.0
207,-67.0
208,-76.0
209,-79.0
210,-70.0
211,-79.0
212,-62.0
213,-64.0
214,-48.0
215,-75.0
216,-79.0
217,-67.0
218,-46.0
219,-77.0
220,-75.0
221,-79.0
222,-56.0
223,-71.0
224,-79.0
225,-76.0
226,-70.0
227,-67.0
228,-77.0
229,-79.0
230,-67.0
231,-79.0
232,-62.0
233,-64.0
234,-47.0
235,-73.0
236,-79.0
237,-66.0
238,-47.0
239,-77.0
240,-73.0
241,-79.0
242,-56.0
243,-71.0
244,-79.0
245,-76.0
246,-69.0
247,-66.0
248,-79.0
249,-79.0
250,-76.0
251,-69.0
252,-79.0
253,-62.0
254,-65.0
255,-49.0
256,-74.0
257,-79.0
258,-68.0
259,-44.0
260,-77.0
261,-72.0
262,-79.0
263,-55.0
264,-69.0
265,-79.0
266,-76.0
267,-68.0
268,-67.0
269,-79.0
270,-79.0
271,-76.0
272,-70.0
273,-79.0
274,-63.0
275,-65.0
276,-47.0
277,-74.0
278,-77.0
279,-68.0
280,-43.0
281,-77.0
282,-74.0
283,-79.0
284,-55.0
285,-69.0
286,-79.0
287,-76.0
288,-68.0
289,-73.0
290,-79.0
291,-79.0
292,-76.0
293,-69.0
294,-79.0
295,-61.0
296,-65.0
297,-47.0
298,-74.0
299,-77.0
300,-67.0
301,-46.0
302,-77.0
303,-73.0
304,-79.0
305,-55.0
306,-69.0
307,-79.0
308,-76.0
309,-71.0
310,-73.0
311,-76.0
312,-79.0
313,-76.0
314,-70.0
315,-79.0
316,-59.0
317,-65.0
318,-49.0
319,-73.0
320,-78.0
321,-65.0
322,-46.0
323,-77.0
324,-73.0
325,-79.0
326,-55.0
327,-67.0
328,-79.0
329,-76.0
330,-69.0
331,-71.0
332,-78.0
333,-79.0
334,-76.0
335,-71.0
336,-79.0
337,-59.0
338,-65.0
339,-47.0
340,-73.0
341,-77.0
342,-65.0
343,-47.0
344,-77.0
345,-72.0
346,-79.0
347,-55.0
348,-69.0
349,-79.0
350,-77.0
351,-69.0
352,-70.0
353,-79.0
354,-79.0
355,-76.0
356,-69.0
357,-79.0
358,-61.0
359,-64.0
360,-46.0
361,-73.0
362,-78.0
363,-65.0
364,-49.0
365,-77.0
366,-73.0
367,-79.0
368,-54.0
369,-69.0
370,-79.0
371,-78.0
372,-71.0
373,-70.0
374,-77.0
375,-79.0
376,-76.0
377,-70.0
378,-79.0
379,-61.0
380,-63.0
381,-47.0
382,-73.0
383,-76.0
384,-70.0
385,-49.0
386,-77.0
387,-73.0
388,-79.0
389,-54.0
390,-70.0
391,-79.0
392,-78.0
393,-71.0
394,-70.0
395,-78.0
396,-79.0
397,-73.0
398,-70.0
399,-79.0
400,-63.0
401,-64.0
402,-47.0
403,-71.0
404,-79.0
405,-67.0
406,-47.0
407,-77.0
408,-73.0
409,-79.0
410,-54.0
411,-70.0
412,-79.0
413,-78.0
414,-69.0
415,-70.0
416,-79.0
417,-79.0
418,-73.0
419,-69.0
420,-79.0
421,-61.0
422,-65.0
423,-47.0
424,-72.0
425,-79.0
426,-67.0
427,-46.0
428,-77.0
429,-72.0
430,-79.0
431,-55.0
432,-68.0
433,-79.0
434,-78.0
435,-65.0
436,-70.0
437,-79.0
438,-79.0
439,-73.0
440,-69.0
441,-79.0
442,-62.0
443,-64.0
444,-46.0
445,-72.0
446,-79.0
447,-67.0
448,-45.0
449,-77.0
450,-71.0
451,-79.0
452,-56.0
453,-68.0
454,-79.0
455,-77.0
456,-66.0
457,-71.0
458,-78.0
459,-79.0
460,-72.0
461,-70.0
462,-79.0
463,-59.0
464,-64.0
465,-47.0
466,-72.0
467,-79.0
468,-66.0
469,-45.0
470,-77.0
471,-71.0
472,-56.0
473,-68.0
474,-79.0
