,0
0,-70.06666666666666
1,-72.2
2,-69.06666666666666
3,-69.79069767441861
4,-69.36842105263158
5,-70.05714285714286
6,-69.44444444444444
7,-69.20833333333333
8,-68.57142857142857
9,-69.66666666666667
10,-68.5
11,-68.0
12,-66.83333333333333
13,-67.75
14,-66.91666666666667
15,-66.0
16,-66.16666666666667
17,-65.58333333333333
18,-66.08333333333333
19,-66.83333333333333
20,-65.75
21,-66.66666666666667
22,-66.0
23,-65.75
24,-64.75
25,-64.58333333333333
26,-65.08333333333333
27,-63.27272727272727
28,-63.90909090909091
29,-62.90909090909091
30,-64.27272727272727
31,-63.63636363636363
32,-64.81818181818181
33,-65.0909090909091
34,-63.90909090909091
35,-65.45454545454545
36,-62.81818181818182
37,-65.08333333333333
38,-65.75
39,-66.08333333333333
40,-65.91666666666667
41,-65.58333333333333
42,-66.0
43,-66.08333333333333
44,-66.16666666666667
45,-67.6923076923077
46,-67.84615384615384
47,-69.3076923076923
48,-66.76923076923077
49,-68.46153846153847
50,-68.6923076923077
51,-67.6923076923077
52,-67.84615384615384
53,-67.92307692307692
54,-67.76923076923077
55,-68.0
56,-67.53846153846153
57,-67.84615384615384
58,-68.0
59,-68.23076923076923
60,-67.84615384615384
61,-67.23076923076923
62,-68.23076923076923
63,-69.3076923076923
64,-68.6923076923077
65,-68.0
66,-67.92307692307692
67,-67.0
68,-67.23076923076923
69,-68.46153846153847
70,-67.6923076923077
71,-68.0
72,-67.07692307692308
73,-66.61538461538461
74,-67.3076923076923
75,-67.23076923076923
76,-67.53846153846153
77,-69.0
78,-65.85714285714286
79,-66.6923076923077
80,-67.53846153846153
81,-67.38461538461539
82,-66.84615384615384
83,-66.76923076923077
84,-66.6923076923077
85,-66.66666666666667
86,-64.16666666666667
87,-63.45454545454545
88,-63.54545454545455
89,-65.75
90,-64.75
91,-65.91666666666667
92,-65.6923076923077
93,-66.92307692307692
94,-66.0
95,-66.92307692307692
96,-65.76923076923077
97,-66.07692307692308
98,-66.61538461538461
99,-66.23076923076923
100,-66.0
101,-66.92307692307692
102,-66.84615384615384
103,-66.0
104,-66.38461538461539
105,-66.46153846153847
106,-66.38461538461539
107,-66.61538461538461
108,-67.5
109,-67.42857142857143
110,-67.42857142857143
111,-67.64285714285714
112,-67.07142857142857
113,-67.07692307692308
114,-66.92307692307692
115,-65.41666666666667
116,-64.83333333333333
117,-65.58333333333333
118,-65.0
119,-48.0
120,-66.81818181818181
121,-65.25
122,-65.16666666666667
123,-66.33333333333333
124,-66.75
125,-67.08333333333333
126,-67.0
127,-66.33333333333333
128,-66.58333333333333
129,-66.41666666666667
130,-67.16666666666667
131,-66.25
132,-61.25
133,-69.75
134,-66.66666666666667
135,-67.5
136,-66.25
137,-67.33333333333333
138,-66.83333333333333
139,-67.33333333333333
140,-67.0
141,-67.5
142,-67.0
143,-67.76923076923077
144,-68.76923076923077
145,-60.5
146,-71.55555555555556
147,-68.0
148,-67.76923076923077
149,-67.84615384615384
150,-68.84615384615384
151,-67.76923076923077
152,-67.92307692307692
153,-68.46153846153847
154,-68.15384615384616
155,-68.07692307692308
156,-68.61538461538461
157,-68.0
158,-59.0
159,-68.83333333333333
160,-68.07692307692308
161,-68.0
162,-67.15384615384616
163,-67.0
164,-66.66666666666667
165,-66.58333333333333
166,-66.33333333333333
167,-65.41666666666667
168,-64.36363636363636
169,-64.18181818181819
170,-64.18181818181819
171,-65.83333333333333
172,-65.75
173,-65.75
174,-65.75
175,-65.66666666666667
176,-66.08333333333333
177,-64.75
178,-65.25
179,-65.33333333333333
180,-65.66666666666667
181,-65.91666666666667
182,-66.41666666666667
183,-65.5
184,-67.8
185,-66.75
186,-66.5
187,-65.25
188,-66.5
189,-65.83333333333333
190,-65.0
191,-64.75
192,-65.16666666666667
193,-65.91666666666667
194,-66.16666666666667
195,-65.83333333333333
196,-65.0
197,-65.66666666666667
198,-64.83333333333333
199,-65.58333333333333
200,-66.61538461538461
201,-66.92307692307692
