,0
0,84:3D:C6:B8:F7:EF
1,84:3D:C6:C7:BF:DF
2,84:3D:C6:B9:02:A0
3,84:3D:C6:AD:B0:D0
4,00:3A:7D:21:47:5F
5,00:3A:7D:27:B4:A0
6,00:3A:7D:21:47:50
7,84:3D:C6:B8:F8:CF
8,00:3A:7D:1E:E0:C0
9,00:3A:7D:27:B6:40
10,84:3D:C6:C7:C1:80
11,84:3D:C6:B9:02:AF
12,84:3D:C6:C7:BF:D0
13,84:3D:C6:B8:F8:C0
14,00:3A:7D:34:EB:40
15,84:3D:C6:BD:4D:A0
16,84:3D:C6:C7:F2:10
17,00:3A:7D:27:B6:4F
18,00:3A:7D:27:B7:2F
19,00:3A:7D:27:B9:F0
20,84:3D:C6:B8:EF:1F
21,84:3D:C6:B9:28:50
22,00:3A:7D:12:43:CF
23,84:3D:C6:B8:EF:10
24,00:3A:7D:27:B9:FF
25,84:3D:C6:B9:26:80
26,00:3A:7D:27:B8:60
27,84:3D:C6:AD:B0:DF
28,84:3D:C6:B9:28:5F
29,00:3A:7D:34:E6:50
30,00:3A:7D:27:B8:6F
31,00:3A:7D:27:B9:D0
32,84:3D:C6:B8:F7:E0
33,00:3A:7D:12:43:C0
34,00:3A:7D:27:B7:20
35,84:3D:C6:B8:F7:EF
36,84:3D:C6:C7:BF:DF
37,84:3D:C6:B9:02:A0
38,84:3D:C6:AD:B0:D0
39,00:3A:7D:21:47:5F
40,00:3A:7D:27:B4:A0
41,00:3A:7D:21:47:50
42,84:3D:C6:B8:F8:CF
43,00:3A:7D:1E:E0:C0
44,00:3A:7D:27:B6:40
45,84:3D:C6:C7:C1:80
46,84:3D:C6:B9:02:AF
47,84:3D:C6:C7:BF:D0
48,84:3D:C6:B8:F8:C0
49,00:3A:7D:34:EB:40
50,84:3D:C6:BD:4D:A0
51,84:3D:C6:C7:F2:10
52,00:3A:7D:27:B6:4F
53,00:3A:7D:27:B7:2F
54,00:3A:7D:27:B9:F0
55,84:3D:C6:B8:EF:1F
56,84:3D:C6:B9:28:50
57,00:3A:7D:12:43:CF
58,84:3D:C6:B8:EF:10
59,00:3A:7D:27:B9:FF
60,84:3D:C6:B9:26:80
61,00:3A:7D:27:B8:60
62,84:3D:C6:AD:B0:DF
63,84:3D:C6:B9:28:5F
64,00:3A:7D:34:E6:50
65,00:3A:7D:27:B8:6F
66,00:3A:7D:27:B9:D0
67,84:3D:C6:B8:F7:E0
68,00:3A:7D:12:43:C0
69,00:3A:7D:27:B7:20
70,84:3D:C6:B8:F7:EF
71,84:3D:C6:C7:BF:DF
72,84:3D:C6:B9:02:A0
73,84:3D:C6:AD:B0:D0
74,00:3A:7D:21:47:5F
75,00:3A:7D:27:B4:A0
76,00:3A:7D:21:47:50
77,84:3D:C6:B8:F8:CF
78,00:3A:7D:1E:E0:C0
79,00:3A:7D:27:B6:40
80,84:3D:C6:C7:C1:80
81,84:3D:C6:B9:02:AF
82,84:3D:C6:C7:BF:D0
