,0
0,-79.0
1,-67.0
2,-74.0
3,-67.0
4,-66.0
5,-74.0
6,-64.0
7,-73.0
8,-73.0
9,-56.0
10,-73.0
11,-79.0
12,-61.0
13,-69.0
14,-79.0
15,-76.0
16,-69.0
17,-69.0
18,-75.0
19,-73.0
20,-54.0
21,-70.0
22,-74.0
23,-49.0
24,-79.0
25,-75.0
26,-68.0
27,-74.0
28,-77.0
29,-69.0
30,-79.0
31,-68.0
32,-76.0
33,-58.0
34,-70.0
35,-79.0
36,-67.0
37,-74.0
38,-67.0
39,-66.0
40,-74.0
41,-64.0
42,-73.0
43,-73.0
44,-55.0
45,-73.0
46,-79.0
47,-61.0
48,-69.0
49,-79.0
50,-76.0
51,-69.0
52,-68.0
53,-75.0
54,-73.0
55,-54.0
56,-71.0
57,-74.0
58,-48.0
59,-79.0
60,-75.0
61,-68.0
62,-74.0
63,-77.0
64,-69.0
65,-79.0
66,-68.0
67,-76.0
68,-58.0
69,-70.0
70,-79.0
71,-67.0
72,-74.0
73,-67.0
74,-66.0
75,-74.0
76,-64.0
77,-73.0
78,-73.0
79,-56.0
80,-73.0
81,-79.0
82,-61.0
83,-69.0
84,-79.0
85,-76.0
86,-69.0
87,-67.0
88,-75.0
89,-73.0
90,-54.0
91,-70.0
92,-74.0
93,-48.0
94,-79.0
95,-75.0
96,-68.0
97,-74.0
98,-75.0
99,-69.0
100,-79.0
101,-68.0
102,-76.0
103,-58.0
104,-70.0
105,-79.0
106,-67.0
107,-74.0
108,-67.0
109,-66.0
110,-74.0
111,-64.0
112,-73.0
113,-73.0
114,-57.0
115,-73.0
116,-79.0
117,-61.0
118,-69.0
119,-79.0
120,-76.0
121,-69.0
122,-68.0
123,-75.0
124,-73.0
125,-54.0
126,-70.0
127,-74.0
128,-49.0
129,-79.0
130,-75.0
131,-69.0
132,-74.0
133,-76.0
134,-69.0
135,-79.0
136,-67.0
137,-74.0
138,-58.0
139,-70.0
140,-79.0
141,-67.0
142,-74.0
143,-67.0
144,-66.0
145,-74.0
146,-64.0
147,-73.0
148,-73.0
149,-57.0
150,-73.0
151,-79.0
152,-61.0
153,-69.0
154,-79.0
155,-76.0
156,-69.0
157,-67.0
158,-75.0
159,-73.0
160,-54.0
161,-69.0
162,-74.0
163,-49.0
164,-79.0
165,-75.0
166,-69.0
167,-74.0
168,-76.0
169,-69.0
170,-79.0
171,-67.0
172,-74.0
173,-58.0
174,-70.0
175,-79.0
176,-67.0
177,-74.0
178,-67.0
179,-66.0
180,-74.0
181,-64.0
182,-73.0
183,-73.0
184,-57.0
185,-73.0
186,-79.0
187,-61.0
188,-69.0
189,-79.0
190,-76.0
191,-69.0
192,-68.0
193,-75.0
194,-73.0
195,-54.0
196,-69.0
197,-74.0
198,-48.0
199,-79.0
200,-75.0
201,-69.0
202,-74.0
203,-77.0
204,-69.0
205,-79.0
206,-67.0
207,-74.0
208,-58.0
209,-70.0
210,-79.0
211,-67.0
212,-74.0
213,-67.0
214,-66.0
215,-74.0
216,-64.0
217,-73.0
218,-73.0
219,-57.0
220,-73.0
221,-79.0
222,-61.0
223,-69.0
224,-79.0
225,-78.0
226,-69.0
227,-69.0
228,-75.0
229,-73.0
230,-54.0
231,-68.0
232,-74.0
233,-49.0
234,-79.0
235,-75.0
236,-69.0
237,-74.0
238,-79.0
239,-69.0
240,-79.0
241,-69.0
242,-74.0
243,-58.0
244,-70.0
245,-79.0
246,-67.0
247,-74.0
248,-67.0
249,-66.0
250,-64.0
251,-73.0
252,-59.0
253,-79.0
254,-61.0
255,-69.0
256,-78.0
257,-69.0
258,-69.0
259,-75.0
260,-73.0
261,-73.0
262,-54.0
263,-68.0
264,-74.0
265,-49.0
266,-79.0
267,-75.0
268,-69.0
269,-74.0
270,-78.0
271,-69.0
272,-79.0
273,-69.0
274,-74.0
275,-58.0
276,-70.0
277,-79.0
278,-74.0
279,-67.0
280,-66.0
281,-64.0
282,-73.0
283,-59.0
284,-69.0
285,-78.0
286,-69.0
287,-68.0
288,-75.0
289,-73.0
290,-54.0
291,-72.0
292,-74.0
293,-47.0
294,-75.0
295,-69.0
296,-74.0
297,-76.0
298,-69.0
299,-79.0
300,-69.0
301,-74.0
302,-58.0
303,-70.0
304,-79.0
305,-74.0
306,-67.0
307,-66.0
308,-64.0
309,-73.0
310,-60.0
311,-69.0
312,-78.0
313,-69.0
314,-68.0
315,-75.0
316,-73.0
317,-55.0
318,-71.0
319,-74.0
320,-46.0
321,-75.0
322,-67.0
323,-74.0
324,-77.0
325,-69.0
326,-79.0
327,-69.0
328,-74.0
329,-58.0
330,-70.0
331,-79.0
332,-73.0
333,-58.0
334,-69.0
335,-78.0
336,-69.0
337,-69.0
338,-75.0
339,-73.0
340,-55.0
341,-70.0
342,-74.0
343,-47.0
344,-75.0
345,-67.0
346,-74.0
347,-79.0
348,-79.0
349,-69.0
350,-74.0
351,-79.0
352,-73.0
353,-58.0
354,-77.0
355,-70.0
356,-69.0
357,-77.0
358,-73.0
359,-55.0
360,-70.0
361,-48.0
362,-75.0
363,-68.0
364,-74.0
365,-79.0
366,-79.0
367,-72.0
368,-74.0
369,-79.0
370,-58.0
371,-77.0
372,-70.0
373,-70.0
374,-77.0
375,-73.0
376,-57.0
377,-69.0
378,-47.0
379,-75.0
380,-68.0
381,-79.0
382,-79.0
383,-71.0
384,-74.0
385,-79.0
386,-58.0
387,-77.0
388,-70.0
389,-71.0
390,-77.0
391,-73.0
392,-56.0
